Tick,Active_Agents,Compute_Time_sec,CPU_Usage_percent,RAM_Usage_MB,Routing_Queue_Size,Routes_Per_Sec
0,10000,0.0,61.5,156.484375,95,0.0
1,10000,8.700491820000025,61.0,158.05859375,105,10.91892297187399
2,10000,5.110835376000068,67.1,164.73828125,101,20.544586603800365
3,10000,3.053806046000318,69.5,166.20703125,87,33.07348223122533
4,10000,0.10540923499956989,72.9,166.23046875,94,825.3546285612925
5,10000,0.12575906300025963,67.6,166.265625,89,747.4610398441497
6,10000,0.12072119300046324,66.8,166.296875,102,737.2359217793555
7,10000,0.12592564199985645,68.7,166.3359375,102,810.0018263168058
8,10000,0.13937395799985097,70.5,166.390625,99,731.8440364598748
9,10000,0.10160172599989892,67.8,166.4140625,100,974.3928956492185
10,10000,0.10693809900021733,64.8,166.48828125,92,935.1204195222955
11,10000,0.09619531000043935,63.7,166.51953125,94,956.3875827166606
12,10000,0.10627249400022265,60.2,166.5546875,115,884.5186224744388
13,10000,0.11259389100086992,65.7,166.609375,91,1021.3698005970101
14,10000,0.10325540000030742,65.2,166.66015625,104,881.3098394827687
15,10000,0.1080154279998169,64.1,168.0,90,962.825421570114
16,10000,0.07790034199933871,61.7,168.9765625,118,1155.3222706103654
17,10000,0.1370080130000133,65.6,169.15234375,101,861.2634941285407
18,10000,0.14411318899965408,68.0,169.55078125,111,700.8380058832952
19,10000,0.1273623819997738,67.7,170.7890625,116,871.5289260230478
20,10000,0.12821631799943134,64.3,170.95703125,108,904.7210355901382
21,10000,0.09545281400005479,67.3,172.46484375,79,1131.4490948369319
22,10000,0.106093442999736,61.1,172.53515625,111,744.6266024206283
23,10000,0.11207101299987698,64.5,173.72265625,100,990.443443213294
24,10000,0.11476715899971168,62.5,173.73046875,83,871.329401821746
25,10000,0.08261769999990065,61.2,175.15234375,100,1004.6273377266591
26,10000,0.10821840999960841,66.8,175.0625,92,924.0571913814096
27,10000,0.10085035700012668,66.1,176.3515625,101,912.2426805081557
28,10000,0.10104356200008624,62.9,177.359375,89,999.5688790139227
29,10000,0.0899720770003114,65.6,176.76953125,87,989.195792375583
30,10000,0.09873319999951491,63.4,178.56640625,103,881.1625674082015
31,10000,0.12053964099959558,62.9,177.8984375,100,854.4906816202114
32,10000,0.1276091429999724,62.8,179.1171875,100,783.6429087218432
33,10000,0.10320774100000563,63.7,180.3125,106,968.9195697054793
34,10000,0.12332741499994881,61.1,180.3828125,100,859.500703878728
35,10000,0.12619046899999375,66.4,182.00390625,100,792.4528753435804
36,10000,0.11317582999981823,64.5,182.984375,122,883.5808847185888
37,10000,0.12042252100036421,60.7,184.9453125,100,1013.0995347592085
38,10000,0.10399487999984558,61.5,188.265625,99,961.5858011485612
39,10000,0.11710774900075194,64.4,189.37109375,93,845.3753132883147
40,10000,0.17564550099996268,72.3,191.78125,115,529.475559980439
41,10000,0.13155589899997722,68.1,193.390625,96,874.1531233047932
42,10000,0.1259426260003238,70.3,195.390625,87,762.2518526789586
43,10000,0.11716745000012452,64.5,197.953125,104,742.5270414258187
44,10000,0.1026033460002509,66.7,200.0234375,103,1013.6121681620957
45,10000,0.09893474500040611,73.3,200.9921875,98,1041.0902661100224
46,10000,0.12747307300014654,67.5,202.90625,1542,768.7898133583658
47,10000,1.6665669659996638,90.1,205.296875,88,925.2553491452746
48,10000,0.1024324810005055,60.6,207.63671875,115,859.1024950334428
49,10000,0.12717414300004748,63.4,209.6171875,89,904.2718691641355
50,10000,0.14194482499988226,66.3,210.7890625,108,627.0041898327313
51,10000,0.08291982999980974,61.6,213.24609375,97,1302.462872876703
52,10000,0.11184203399989201,64.4,215.53125,105,867.2946702676533
53,10000,0.09796067900060734,62.6,215.8359375,94,1071.8586382945448
54,10000,0.09092013100053009,62.0,218.15625,102,1033.8744452474662
55,10000,0.12106985100035672,63.3,220.53125,116,842.488853808034
56,10000,0.12669436699979997,69.9,221.7578125,86,915.5892463647034
57,10000,0.09906548999970255,63.6,223.5703125,104,868.1125990519829
58,10000,0.10091051499966852,64.0,224.3125,92,1030.6160859484428
59,10000,0.10009960700062948,66.7,225.87890625,107,919.0845274689386
