Tick,Active_Agents,Compute_Time_sec,CPU_Usage_percent,RAM_Usage_MB,Routing_Queue_Size,Routes_Per_Sec
0,250,0.0,50.0,155.5625,5,0.0
1,250,0.05241087000013067,8.0,155.90234375,6,95.40005727795653
2,250,0.050346254000032786,7.5,155.90234375,9,99.31225469121782
3,250,0.052058170000236714,10.8,155.90234375,11,96.04640347475265
4,250,0.05273526099972514,7.9,155.9140625,13,94.81322184081084
5,250,0.05645637500037992,14.0,155.9140625,13,88.56395756841194
6,250,0.05645592899963958,11.8,155.91796875,13,88.56465722195308
7,250,0.05283629800032941,6.9,155.91796875,14,94.6319138401564
8,250,0.057036340000195196,21.7,155.92578125,14,87.66340897720451
9,250,0.05957064900030673,21.6,155.9375,15,83.93395210406814
10,250,0.057801143999313354,43.4,155.9375,14,86.50347820208191
11,250,0.06652808300077595,50.0,156.10546875,13,75.15623139091025
12,250,0.047671559999798774,81.0,156.19140625,18,104.88433774814807
13,250,0.047649568999986514,90.1,156.203125,18,104.93274346303983
14,250,0.04487733299993124,67.0,156.20703125,21,111.41482048426677
15,250,0.04907211499994446,73.2,156.2109375,22,101.89086001297598
16,250,0.05394931600039854,55.5,162.68359375,20,92.6795809600823
17,250,0.0454806309999185,75.5,162.6875,19,109.93690918687912
18,250,0.04871438999998645,51.0,162.69140625,18,102.63907646182967
19,250,0.030649887999970815,44.5,162.6953125,14,163.1327331442373
20,250,0.05764235300011933,48.6,162.69921875,15,86.74177475006354
21,250,0.05349460799970984,58.3,162.703125,11,93.46736403839282
22,250,0.034644151000065904,70.4,162.70703125,9,144.32450660980228
23,250,0.04316941800061613,53.8,162.7109375,6,115.82273358257083
24,250,0.04163604800032772,44.7,162.71484375,4,120.08824660689807
25,250,0.022153674000037427,43.0,162.71875,7,180.55695863328324
26,250,0.03539099199952034,46.8,162.72265625,5,141.2788881438465
27,250,0.04815362599947548,64.0,162.7265625,8,103.83434053448983
28,250,0.05834315200081619,45.2,162.73046875,12,85.69986071253149
29,250,0.030686665999382967,60.0,162.734375,9,162.93721840295512
30,250,0.034507929000028525,49.5,162.73828125,6,144.89423575653777
31,250,0.03154494299997168,46.8,162.7421875,3,158.50401124530447
32,250,0.023120001000279444,72.3,162.7421875,4,129.75777985319897
33,250,0.023864918000072066,61.7,162.74609375,5,167.61004584167944
34,250,0.03547138600060862,57.8,162.75,8,140.95868709258247
35,250,0.042087093999725766,56.6,162.75,7,118.80126482556813
36,250,0.03745195700048498,62.2,162.75390625,6,133.50437201279635
37,250,0.024032688999795937,75.7,162.7578125,4,208.04996061998952
38,250,0.02561564699954033,57.9,162.76171875,4,156.15455662985124
39,250,0.025616180999350036,57.1,162.76171875,6,156.15130140209007
40,250,0.02560782700038544,57.5,162.765625,3,195.25280297796223
41,250,0.017084950000025856,54.9,162.76953125,6,175.59313899048342
42,250,0.03876942900024005,56.5,162.76953125,3,128.9675945438619
43,250,0.02222843500021554,57.8,162.7734375,3,134.9622679226365
44,250,0.020208716000524873,53.9,162.7734375,13,148.45079716702844
45,250,0.030745591000595596,48.1,162.77734375,9,162.6249435212724
46,250,0.02670994999971299,45.6,162.78125,7,187.19615723929573
47,250,0.035425916999884066,49.0,162.78515625,10,141.13960691593002
48,250,0.02634096000019781,47.8,162.7890625,7,189.81844245473405
49,250,0.03638939400025265,47.6,162.7890625,8,137.40267287675317
50,250,0.025601391999771295,48.1,162.79296875,12,195.30188046199467
51,250,0.02701994899962301,42.9,162.796875,7,185.04846178909372
52,250,0.030436454999289708,40.2,162.80078125,2,164.27668728558186
53,250,0.012240322999787168,42.8,162.80078125,0,163.39438101713293
54,250,0.0,48.8,162.80078125,0,0.0
55,250,0.0,66.5,162.80078125,0,0.0
56,250,0.0,69.6,162.80078125,0,0.0
57,250,0.0,36.0,162.80078125,0,0.0
58,250,0.0,39.0,162.80078125,0,0.0
59,250,0.0,34.0,162.80078125,0,0.0
60,250,0.0,34.5,162.80078125,0,0.0
61,250,0.0,39.4,162.80078125,0,0.0
62,250,0.0,41.9,162.80078125,0,0.0
63,250,0.0,35.6,162.80078125,0,0.0
64,250,0.0,39.0,162.80078125,0,0.0
65,250,0.0,35.8,162.80078125,0,0.0
66,250,0.0,30.8,162.80078125,0,0.0
67,250,0.0,19.9,162.80078125,0,0.0
