Tick,Active_Agents,Compute_Time_sec,CPU_Usage_percent,RAM_Usage_MB,Routing_Queue_Size,Routes_Per_Sec
0,100,0.0,0.0,155.875,2,0.0
1,100,0.01981244099988544,4.6,156.19921875,5,100.94667285124355
2,100,0.02899725600036618,7.1,156.203125,1,172.43010855706
3,100,0.01227487799951632,2.9,156.203125,5,81.46720480964487
4,100,0.027666978000524978,9.3,156.203125,0,180.72085790884447
5,100,0.0,11.4,156.203125,1,0.0
6,100,0.011544975000106206,10.7,156.203125,2,86.61777093417705
7,100,0.017914228000336152,13.8,156.2109375,0,111.64310289912973
8,100,0.0,7.0,156.2109375,3,0.0
9,100,0.02102053300041007,13.1,156.21484375,1,142.71759902289233
10,100,0.010784295000121347,12.4,156.21484375,1,92.72743373477337
11,100,0.011078722999627644,4.8,156.21484375,1,90.2631106521582
12,100,0.01072656900032598,5.4,156.21484375,3,93.22645479366328
13,100,0.023413846000039484,7.8,156.21484375,2,128.1293128858429
14,100,0.018774254999698314,12.3,156.21484375,0,106.52886093387664
15,100,0.0,11.5,156.21484375,4,0.0
16,100,0.016821096999592555,30.8,156.22265625,4,237.79661933445178
17,100,0.028412444999958097,72.5,156.37109375,3,140.78337855140236
18,100,0.025611709999793675,76.7,156.40625,2,117.13392038345614
19,100,0.01577872899997601,74.9,156.4140625,0,126.75292160750341
20,100,0.0,56.9,156.4140625,1,0.0
21,100,0.009242140999958792,32.1,156.41796875,2,108.20003719965521
22,100,0.012790588999450847,27.2,156.41796875,1,156.36496490395152
23,100,0.006610107000597054,42.0,156.41796875,1,151.28348147914633
24,100,0.012651603999984218,52.7,162.8203125,3,79.04136107968978
25,100,0.017419153999981063,52.0,162.8203125,4,172.22420790373982
26,100,0.035465664000184915,43.2,162.828125,3,112.78514339895467
27,100,0.024690596000255027,66.7,162.828125,1,121.50374984747283
28,100,0.00930617300036829,38.0,162.828125,0,107.45555664615576
29,100,0.0,34.6,162.828125,1,0.0
30,100,0.004677894999986165,24.5,162.828125,3,213.77136511250413
31,100,0.019130985000629153,24.0,162.828125,1,156.81367163799146
32,100,0.00485144600042986,25.3,162.828125,1,206.12411225671593
33,100,0.005372990000068967,20.4,162.828125,1,186.1161103942431
34,100,0.010763964999568998,61.9,162.828125,1,92.90256889910374
35,100,0.008622710000054212,41.2,162.83203125,0,115.97282060903275
36,100,0.0,31.4,162.83203125,3,0.0
37,100,0.01958937600011268,37.9,162.83203125,6,153.14423491502455
38,100,0.026622164999935194,21.2,162.8359375,2,187.8134253924191
39,100,0.02066745699994499,29.0,162.8359375,1,96.77049285770008
40,100,0.006096441999943636,62.6,162.8359375,2,164.03010149350152
41,100,0.009261227000024519,38.2,162.83984375,4,215.95410629657442
42,100,0.02246083299996826,29.6,162.83984375,4,178.08778507928233
43,100,0.018240142999275122,24.7,162.84375,3,219.29652635722007
44,100,0.01498730000002979,22.4,162.84375,2,200.16947682331286
45,100,0.012720391000584641,30.8,162.84765625,0,157.22787136874
46,100,0.0,26.5,162.84765625,2,0.0
47,100,0.008422591999988072,27.5,162.84765625,2,237.45659293514782
48,100,0.010423692000586016,27.8,162.8515625,2,191.8705963191891
49,100,0.012317179000092437,29.9,162.8515625,2,162.37484248503577
50,100,0.011576920000152313,28.4,162.8515625,2,172.75752099640377
51,100,0.015158850999796414,31.8,162.85546875,0,131.93612101780408
52,100,0.0,61.0,162.85546875,0,0.0
53,100,0.0,46.0,162.85546875,0,0.0
54,100,0.0,32.9,162.85546875,0,0.0
