Tick,Active_Agents,Compute_Time_sec,CPU_Usage_percent,RAM_Usage_MB,Routing_Queue_Size,Routes_Per_Sec
0,500,0.0,0.0,154.140625,37,0.0
1,500,1.6862961379993067,33.7,155.55859375,41,21.94157904192224
2,500,0.91568857799939,33.0,155.6015625,35,44.77504796398947
3,500,0.8827881630004413,33.0,155.76953125,48,39.64711067380103
4,500,0.8296198950010876,32.9,155.80859375,55,57.85782174369996
5,500,0.9278059159987606,35.0,155.84765625,54,59.27963925601168
6,500,0.07985421200100973,41.7,155.88671875,44,676.2323319816517
7,500,0.07901221199972497,36.6,155.921875,45,556.8759421664231
8,500,0.07297396799913258,25.2,155.953125,46,616.6582581960583
9,500,0.07846173500001896,31.3,155.9921875,46,586.2730412472893
10,500,0.09108956500131171,31.5,156.21484375,49,504.9974714374538
11,500,0.06313586199939891,29.2,156.4765625,0,776.1040785420258
12,500,0.0,3.0,156.4765625,0,0.0
13,500,0.0,3.0,156.4765625,0,0.0
14,500,0.0,3.6,156.4765625,0,0.0
15,500,0.0,2.4,156.4765625,0,0.0
16,500,0.0,4.8,156.4765625,0,0.0
17,500,0.0,18.1,156.4765625,0,0.0
18,500,0.0,1.8,156.4765625,0,0.0
19,500,0.0,1.2,156.4765625,0,0.0
20,500,0.0,2.4,156.4765625,0,0.0
21,500,0.0,8.4,156.48046875,0,0.0
22,500,0.0,13.9,156.48046875,0,0.0
23,500,0.0,7.6,156.48046875,0,0.0
24,500,0.0,9.7,156.48046875,0,0.0
25,500,0.0,1.8,156.48046875,0,0.0
26,500,0.0,6.7,156.48046875,0,0.0
27,500,0.0,27.2,156.48046875,0,0.0
28,500,0.0,33.1,156.48046875,0,0.0
29,500,0.0,48.8,156.48046875,0,0.0
30,500,0.0,18.8,156.484375,0,0.0
31,500,0.0,1.7,156.484375,0,0.0
32,500,0.0,3.6,156.484375,0,0.0
33,500,0.0,2.4,156.484375,0,0.0
34,500,0.0,6.5,156.484375,0,0.0
35,500,0.0,0.6,156.484375,0,0.0
36,500,0.0,4.2,156.484375,0,0.0
37,500,0.0,3.0,156.484375,0,0.0
38,500,0.0,12.8,156.484375,0,0.0
39,500,0.0,7.9,156.484375,0,0.0
40,500,0.0,1.8,156.484375,0,0.0
41,500,0.0,2.4,156.484375,0,0.0
42,500,0.0,9.2,156.484375,0,0.0
43,500,0.0,12.2,156.484375,0,0.0
44,500,0.0,6.6,156.48828125,0,0.0
45,500,0.0,10.7,156.48828125,0,0.0
46,500,0.0,14.9,156.48828125,0,0.0
47,500,0.0,14.5,156.48828125,0,0.0
48,500,0.0,9.4,156.48828125,0,0.0
49,500,0.0,2.3,156.48828125,0,0.0
50,500,0.0,5.4,156.48828125,0,0.0
51,500,0.0,7.3,156.48828125,0,0.0
52,500,0.0,4.8,156.48828125,0,0.0
53,500,0.0,4.2,156.48828125,0,0.0
54,500,0.0,2.4,156.48828125,0,0.0
55,500,0.0,8.2,156.48828125,0,0.0
56,500,0.0,8.3,156.48828125,0,0.0
57,500,0.0,9.4,156.48828125,0,0.0
58,500,0.0,14.8,156.48828125,0,0.0
59,500,0.0,8.1,156.48828125,0,0.0
60,500,0.0,9.8,156.48828125,0,0.0
61,500,0.0,8.0,156.48828125,0,0.0
62,500,0.0,5.5,156.48828125,0,0.0
63,500,0.0,4.2,156.48828125,0,0.0
64,500,0.0,4.3,156.48828125,0,0.0
65,500,0.0,3.0,156.48828125,0,0.0
66,500,0.0,6.8,156.48828125,0,0.0
67,500,0.0,10.3,156.48828125,0,0.0
68,500,0.0,6.0,156.48828125,0,0.0
69,500,0.0,4.2,156.48828125,0,0.0
70,500,0.0,4.2,156.48828125,0,0.0
71,500,0.0,3.0,156.48828125,0,0.0
72,500,0.0,1.8,156.48828125,0,0.0
73,500,0.0,3.6,156.48828125,0,0.0
74,500,0.0,3.0,156.48828125,0,0.0
75,500,0.0,4.8,156.48828125,0,0.0
76,500,0.0,3.6,156.48828125,0,0.0
77,500,0.0,3.0,156.48828125,0,0.0
78,500,0.0,2.4,156.48828125,0,0.0
79,500,0.0,4.3,156.48828125,0,0.0
80,500,0.0,6.9,156.48828125,0,0.0
81,500,0.0,7.2,156.48828125,0,0.0
82,500,0.0,2.5,156.48828125,0,0.0
83,500,0.0,2.4,156.48828125,0,0.0
84,500,0.0,4.7,156.48828125,0,0.0
85,500,0.0,1.8,156.48828125,0,0.0
86,500,0.0,2.4,156.48828125,0,0.0
87,500,0.0,1.2,156.48828125,0,0.0
88,500,0.0,3.0,156.48828125,0,0.0
89,500,0.0,5.4,156.48828125,0,0.0
90,500,0.0,6.1,156.48828125,0,0.0
91,500,0.0,0.6,156.48828125,0,0.0
92,500,0.0,3.0,156.4921875,0,0.0
93,500,0.0,6.8,156.4921875,0,0.0
94,500,0.0,2.5,156.4921875,0,0.0
95,500,0.0,2.4,156.4921875,0,0.0
96,500,0.0,2.4,156.4921875,0,0.0
97,500,0.0,1.8,156.4921875,0,0.0
98,500,0.0,1.8,156.4921875,0,0.0
99,500,0.0,6.0,156.4921875,0,0.0
100,500,0.0,2.4,156.4921875,0,0.0
101,500,0.0,6.1,156.4921875,0,0.0
102,500,0.0,3.6,156.4921875,0,0.0
103,500,0.0,1.2,156.4921875,0,0.0
104,500,0.0,2.5,156.4921875,0,0.0
105,500,0.0,1.2,156.4921875,0,0.0
106,500,0.0,1.8,156.4921875,0,0.0
107,500,0.0,3.7,156.4921875,0,0.0
108,500,0.0,2.5,156.4921875,0,0.0
109,500,0.0,3.1,156.4921875,0,0.0
110,500,0.0,2.5,156.4921875,0,0.0
111,500,0.0,1.9,156.4921875,0,0.0
112,500,0.0,3.1,156.4921875,0,0.0
113,500,0.0,9.9,156.4921875,0,0.0
114,500,0.0,8.4,156.4921875,0,0.0
115,500,0.0,3.0,156.4921875,0,0.0
116,500,0.0,7.3,156.4921875,0,0.0
117,500,0.0,1.8,156.4921875,0,0.0
118,500,0.0,3.0,156.4921875,0,0.0
119,500,0.0,8.3,156.4921875,0,0.0
120,500,0.0,39.5,156.4921875,0,0.0
121,500,0.0,26.5,156.4921875,0,0.0
122,500,0.0,31.2,156.4921875,0,0.0
123,500,0.0,8.5,156.4921875,0,0.0
124,500,0.0,13.7,156.4921875,0,0.0
125,500,0.0,1.2,156.4921875,0,0.0
126,500,0.0,12.6,156.4921875,0,0.0
127,500,0.0,9.4,156.4921875,0,0.0
128,500,0.0,6.1,156.4921875,0,0.0
129,500,0.0,5.0,156.4921875,0,0.0
130,500,0.0,5.0,156.4921875,0,0.0
131,500,0.0,3.7,156.4921875,0,0.0
132,500,0.0,6.1,156.4921875,0,0.0
133,500,0.0,6.8,156.4921875,0,0.0
134,500,0.0,4.4,156.4921875,0,0.0
135,500,0.0,17.0,156.4921875,0,0.0
136,500,0.0,37.7,156.4921875,0,0.0
137,500,0.0,31.2,156.4921875,0,0.0
138,500,0.0,5.6,156.4921875,0,0.0
139,500,0.0,7.5,156.4921875,0,0.0
140,500,0.0,5.5,156.4921875,0,0.0
141,500,0.0,3.8,156.4921875,0,0.0
142,500,0.0,6.8,156.4921875,0,0.0
143,500,0.0,5.0,156.4921875,0,0.0
