Tick,Active_Agents,Compute_Time_sec,CPU_Usage_percent,RAM_Usage_MB,Routing_Queue_Size,Routes_Per_Sec
0,1000,0.0,0.0,154.0625,13,0.0
1,1000,0.018046783000045252,2.2,154.6875,35,277.0576894501066
2,1000,0.023690826999995807,2.7,154.6875,50,211.0521511132087
3,1000,0.02508040500003972,2.7,154.71875,60,199.35882215586557
4,1000,0.013813817000027484,2.3,154.72265625,74,361.95643825237096
5,1000,0.023934295000003658,3.9,154.72265625,96,208.90525499076685
6,1000,0.02625651599998946,7.7,154.73046875,120,190.42892057735332
7,1000,0.023192278000010447,3.3,154.7421875,134,215.58899906243568
8,1000,0.018961681999940083,7.3,154.7421875,150,263.68968744522766
9,1000,0.016880012000001443,5.7,154.74609375,162,296.2083202310266
10,1000,0.02252215399994384,5.0,154.765625,175,222.0036325127902
11,1000,0.01984096299997873,3.9,154.765625,193,252.00389719013944
12,1000,0.019615997999949286,5.1,154.7734375,209,254.89399009996467
13,1000,0.022659821999923224,5.6,154.7734375,222,220.65486657472158
14,1000,0.026753266000014264,4.4,154.7890625,237,186.89306942925526
15,1000,0.022167448000004697,5.1,154.796875,250,225.55595935079856
16,1000,0.012617729999988114,5.2,154.80078125,263,396.2677914335392
17,1000,0.02108202700003403,8.4,154.80078125,276,237.16884529139105
18,1000,0.02301138199993602,8.3,154.8125,292,217.28377722006883
19,1000,0.020938088999969295,4.0,154.8125,303,238.79925240585862
20,1000,0.022636833999968076,5.6,154.8125,317,220.87894446754575
21,1000,0.03582784399998218,6.3,154.81640625,331,139.556262442208
22,1000,0.01547812600006182,2.8,154.81640625,349,323.0365226371739
23,1000,0.03261278099989795,56.8,155.234375,359,153.31412552691063
24,1000,0.01969715300003827,14.8,155.234375,365,253.8437915362837
25,1000,0.040841504999889366,36.9,155.41796875,384,122.42447970547472
26,1000,0.034846194000010655,46.0,155.73046875,396,143.48769337616818
27,1000,0.03971185099999275,15.9,155.75390625,407,125.90699939927033
28,1000,0.044366169999989324,22.3,155.77734375,423,112.6984817486207
29,1000,0.02595248399995853,17.8,155.77734375,437,192.65978547594864
30,1000,0.023680572999978722,46.3,155.77734375,448,211.14353947450903
31,1000,0.028003735999959645,64.4,155.78515625,463,178.54760521978943
32,1000,0.04099155599999449,13.0,155.79296875,477,121.97634068832791
33,1000,0.029419973000017308,61.1,162.546875,493,169.95256929695546
34,1000,0.042025502000001325,77.1,162.546875,504,118.97537833099156
35,1000,0.031732050999949024,78.8,162.58984375,515,157.56939253652504
36,1000,0.03778194000005897,66.8,162.59765625,531,132.33836060276937
37,1000,0.037391157999991265,61.3,162.59765625,542,133.72145361213921
38,1000,0.02653858200005743,62.0,162.59765625,561,188.40494190643568
39,1000,0.03177337500005706,61.1,162.609375,581,157.3644600232434
40,1000,0.020949392999909833,61.3,162.609375,600,238.67039966368097
41,1000,0.03056894899998497,55.0,162.609375,615,163.56466818674267
42,1000,0.04446394000001419,51.5,162.62890625,632,112.45067351202805
43,1000,0.04805196400002387,54.4,162.640625,655,104.05401951931697
44,1000,0.027404316000001927,55.2,162.65625,669,182.45301214595716
45,1000,0.038154750999979115,72.3,162.66015625,681,131.04527926293468
46,1000,0.047525909000000865,51.7,162.66015625,695,105.20577312892445
47,1000,0.03423932399994101,56.7,162.6796875,706,146.03092047052724
